"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","Genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"52",236718,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=236718","Mimachlamys","Iredale, 1929","accepted",NA,180,"Genus",236718,"Mimachlamys","Iredale, 1929",393722,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Mimachlamys","MolluscaBase eds. (2022). MolluscaBase. Mimachlamys Iredale, 1929. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=236718 on 2022-09-01","urn:lsid:marinespecies.org:taxname:236718",1,NA,NA,NA,NA,"exact","2018-05-26T05:44:41.593Z"
"53",1301624,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1301624","Kapalana","Berents & Lowry, 2018","accepted",NA,180,"Genus",1301624,"Kapalana","Berents & Lowry, 2018",1059261,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Kapalana","Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Kapalana Berents & Lowry, 2018. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1301624 on 2022-09-01","urn:lsid:marinespecies.org:taxname:1301624",1,0,0,0,0,"exact","2021-11-02T16:14:33.553Z"
"54",138580,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138580","Tritonia","Cuvier, 1798","accepted",NA,180,"Genus",138580,"Tritonia","Cuvier, 1798",183,"Animalia","Mollusca","Gastropoda","Nudibranchia","Tritoniidae","Tritonia","MolluscaBase eds. (2022). MolluscaBase. Tritonia Cuvier, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138580 on 2022-09-01","urn:lsid:marinespecies.org:taxname:138580",1,1,NA,NA,NA,"exact","2015-04-15T21:08:40.853Z"
"55",204798,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=204798","Dendrochirus","Swainson, 1839","accepted",NA,180,"Genus",204798,"Dendrochirus","Swainson, 1839",154410,"Animalia","Chordata","Actinopteri","Perciformes","Scorpaenidae","Dendrochirus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Dendrochirus Swainson, 1839. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=204798 on 2022-09-01","urn:lsid:marinespecies.org:taxname:204798",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"56",204861,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=204861","Bullina","A. Férussac, 1822","accepted",NA,180,"Genus",204861,"Bullina","A. Férussac, 1822",411859,"Animalia","Mollusca","Gastropoda",NA,"Aplustridae","Bullina","MolluscaBase eds. (2022). MolluscaBase. Bullina A. Férussac, 1822. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=204861 on 2022-09-01","urn:lsid:marinespecies.org:taxname:204861",1,0,0,0,NA,"exact","2018-06-25T02:45:48.457Z"
"57",456473,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=456473","Nembrotha","Bergh, 1877","accepted",NA,180,"Genus",456473,"Nembrotha","Bergh, 1877",412576,"Animalia","Mollusca","Gastropoda","Nudibranchia","Polyceridae","Nembrotha","MolluscaBase eds. (2022). MolluscaBase. Nembrotha Bergh, 1877. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=456473 on 2022-09-01","urn:lsid:marinespecies.org:taxname:456473",1,NA,NA,NA,NA,"exact","2020-01-26T23:51:41.700Z"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",138268,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138268","Octopus","Cuvier, 1798","accepted",NA,180,"Genus",138268,"Octopus","Cuvier, 1798",11782,"Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Octopus","MolluscaBase eds. (2022). MolluscaBase. Octopus Cuvier, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138268 on 2022-09-01","urn:lsid:marinespecies.org:taxname:138268",1,NA,0,0,NA,"exact","2020-05-04T20:12:36.980Z"
"60",142242,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=142242","Thysanozoon","Grube, 1840","accepted",NA,180,"Genus",142242,"Thysanozoon","Grube, 1840",142070,"Animalia","Platyhelminthes",NA,"Polycladida","Pseudocerotidae","Thysanozoon","Tyler, S., Artois, T.; Schilling, S.; Hooge, M.; Bush, L.F. (eds) (2006-2022). World List of turbellarian worms: Acoelomorpha, Catenulida, Rhabditophora. Thysanozoon Grube, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=142242 on 2022-09-01","urn:lsid:marinespecies.org:taxname:142242",1,NA,NA,NA,NA,"exact","2010-06-17T12:41:58.167Z"
"61",125636,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=125636","Gymnothorax","Bloch, 1795","accepted",NA,180,"Genus",125636,"Gymnothorax","Bloch, 1795",151829,"Animalia","Chordata","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax","Froese, R. and D. Pauly. Editors. (2022). FishBase. Gymnothorax Bloch, 1795. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125636 on 2022-09-01","urn:lsid:marinespecies.org:taxname:125636",1,1,1,0,NA,"exact","2014-11-21T13:09:37.943Z"
